id,title
205,"Llegada de un tren a la estación de ferrocarril del Norte, de Barcelona"
206,London Express
207,The Miller and Chimney Sweep
208,Photographing a Ghost
209,A Novice at X-rays
210,"The Astronomer's Dream; or, The Man in the Moon"
211,Saida do Paquete Duque de Braganca
212,Scène d'escamotage
213,Tearing Down the Spanish Flag
214,Smích a plác
215,Visita de Doña María Cristina y Alfonso XIII a Barcelona
216,Waves and Spray
217,L'affaire Dreyfus
218,Aladdin and the Wonderful Lamp
219,The Artist and the Flower Girl
220,Aspectos da Praia de Cascais
221,Au cabaret
222,L'aveugle
223,Battlefield
224,Beauty and the Beast
225,Boat Race
226,Bombardment of Mafeking
227,La bonne absinthe
228,Casey at the Bat
229,Cinderella
230,Portuguese Railway Train
231,Le chiffonnier
232,Choque de dos transatlánticos
233,Cleopatra's Tomb
234,Haggard's She: The Pillar of Fire
235,Courte échelle
236,Le crucifiement
237,Les dangers de l'alcoolisme
238,Danse serpentine par Mme. Bob Walter
239,Distributing a War Extra
240,La descente de croix
241,The Sign of the Cross
242,Le déjeuner des enfants
243,Erreur judiciaire
244,The Haunted House
245,A Turn of the Century Illusionist
246,King John
247,A Kiss in the Tunnel
248,The Legacy
249,Llegada del vapor Bellver a Mallorca
250,Matches: An Appeal
251,La mauvaise soupe
252,The Miser's Doom
253,Monnaie de lapin
254,Mésaventure d'un charbonnier
255,Panorama from the Tower of the Brooklyn Bridge
256,La résurrection
257,Le tondeur de chiens
258,Le tonnelier
259,Transformations
260,A Midnight Episode
261,Un lunch
262,"Vista de la entrada principal de la plaza de toros de Jerez, el segundo día de feria"
263,Summoning the Spirits
264,Above the Limit
265,Above the Speedway
266,L'angélus
267,L'arléquine
268,"Army Life; or, How Soldiers Are Made: Mounted Infantry"
269,Arrivée d'Arléquin
270,Arrivée de Pierette et Pierrot
271,As Seen Through a Telescope
272,Attack on a China Mission
273,Avenue de l'opéra
274,Badinage
275,Bataille d'oreillers
276,Bataille de boules de neige
277,Buffalo Bill's Show Parade
278,Buffalo Bill's Wild West Parade
279,Buffalo Bill's Wild West Parade
280,Buffalo Bill's Wild West Show
281,Le bébé
282,Chez le Maréchal-Ferrant
283,Chez le photographe
284,Chinese Magic
285,Chirurgie fin de siècle
286,The Clown and the Alchemist
287,La concierge
288,Coucher d'une Parisienne
289,Dance de l'ivresse
290,Dans les coulisses
291,Danse du papillon
292,Danse du pas des foulards par des almées
293,La danse du ventre
294,Danse du voile
295,Danse serpentine
296,Danses
297,Déclaration d'amour
298,Le départ d'Arlequin et de Pierrette
299,The Enchanted Drawing
300,Faust and Marguerite
301,"La fée aux choux, ou la naissance des enfants"
302,Gavotte directoire
303,Grandma's Reading Glass
304,L'Habanera
305,"Hamlet, Duel Scene with Laertes"
306,Happy Hooligan
307,The House That Jack Built
308,How It Feels to Be Run Over
309,Chimmie Hicks and the Rum Omelet
310,Le lapin
311,Let Me Dream Again
312,Leçon de danse
313,Le marchand de coco
314,Marché à la volaille
315,Le matelot
316,Eine moderne Jungfrau von Orleans
317,Maple Leaf Viewing
318,Mort d'Adonis
319,The Mystic Swing
320,Panorama de Barcelona: monumentos y fiestas
321,Pas Japonais
322,Pas de grâce
323,Pas des éventails
324,Pas du poignard
325,La paysanne
326,La petite magicienne
327,Le Polichinelle
328,La poupée noire
329,La reine des jouets
330,Retour des champs
331,Le sang d'Adonis donnant naissance à la rose rouge
332,Saut humidifié de M. Plick
333,Soldiers of the Cross
334,La source
335,Spanish Bullfight
336,Suite de la danse
337,La tarentelle
338,Uncle Josh in a Spooky Hotel
339,Uncle Josh's Nightmare
340,Une rage de dents
341,Valse directoire
342,Valse lente
343,L'écossaise
344,Another Job for the Undertaker
345,Buffalo Bill's Wild West Parade
346,Charmant froufrou
347,"What Came Out of the Cheese; or, The Lilliputians in a New York Restaurant"
348,The Countryman's First Sight of the Animated Pictures
349,Danses basques
350,Day at the Circus
351,Execution of Czolgosz with Panorama of Auburn Prison
352,Exercício de Artilharia no Hipódromo de Belém
353,Fire!
354,Frivolité
355,The Haunted Curiosity Shop
356,History of a Crime
357,The India Rubber Head
358,Hussards et grisettes
359,Lavatory moderne
360,Lecture quotidienne
361,Magical Sword
362,Panorama of Esplanade by Night
363,Parada de Bombeiros
364,Uma Parada dos Alunos da Casa Pia de Lisboa
365,Pas de colombine
366,Little Red Riding Hood
367,A Road for Children's Bicycles in Barcelona
368,Scrooge; or Marley's Ghost
369,Scène d'amour
370,Scène d'ivresse
371,The Devil's Seven Castles
372,Tel est pris qui croyait prendre
373,Uma Tourada à Antiga Portuguesa
374,A táncz
375,Undressing Extraordinary
376,Les vagues
377,Visita de la escuadra inglesa a Barcelona
378,Sleeping Beauty
379,Buffalo Bill's Wild West Show
380,Carnaval en las ramblas
381,Carreras de caballos en el hipódromo de Barcelona
382,Miss Dundee and Her Performing Dogs
383,Les clowns
384,La cour des miracles
385,The Coronation of King Edward VII
386,Danse excentrique
387,Danse fantaisiste
388,Danse mauresque
389,La dent récalcitrante
390,The Enchanted Cup
391,En faction
392,Farces de cuisinière
