id,rating,votes
394,4.2,267
395,7.4,18
396,5.8,26
397,4.8,22
398,4.9,23
399,4.4,22
400,4.2,14
401,6.5,1293
402,4.3,27
403,4.8,42
404,8.9,16
405,6.5,650
406,4.2,9
407,5.9,64
408,5.7,972
409,5.7,86
410,3.1,30
411,2.0,10
412,4.9,64
413,3.9,29
414,4.4,21
415,5.5,823
416,5.1,91
417,4.9,102
418,4.3,157
419,4.6,191
420,5.3,71
421,6.0,21
422,5.3,65
423,5.0,199
424,4.6,187
425,7.4,23
426,4.8,80
427,4.5,241
428,4.8,128
429,6.4,308
430,4.8,86
431,5.4,63
432,7.8,24
433,4.2,71
434,5.4,63
435,5.6,65
436,5.4,33
437,6.7,62
438,4.9,172
439,5.8,17
440,6.2,48
441,5.7,16
442,4.7,56
443,4.2,22
444,3.6,18
445,5.8,22
446,5.2,78
447,5.5,54
448,5.7,44
449,6.9,3000
450,5.5,98
451,5.0,141
452,5.8,48
453,6.2,60
454,6.1,47
455,5.4,55
456,5.8,58
457,4.6,34
458,5.6,29
459,5.9,28
460,5.0,83
461,5.5,62
462,5.2,33
463,4.3,29
464,4.4,47
465,5.4,75
466,4.2,26
467,5.2,22
468,5.6,26
469,4.8,14
470,5.9,24
471,6.3,22
472,4.7,13
473,5.2,46
474,4.0,25
475,5.5,22
476,5.8,145
477,5.8,78
478,5.1,27
479,6.1,33
480,4.0,17
481,3.6,17
482,4.7,38
483,7.9,22
484,6.2,18
485,5.3,22
486,5.3,31
487,6.7,17
488,7.1,20
489,5.6,36
490,5.8,31
491,5.8,899
492,5.2,17
493,5.1,153
494,7.0,76
495,5.7,240
496,5.2,157
497,5.8,32
498,6.8,14
499,4.8,10
500,5.5,47
501,5.5,152
502,5.6,17
503,6.4,26
504,6.3,10
505,5.3,184
506,5.4,182
507,5.6,24
508,5.9,21
509,7.5,11
510,5.6,147
511,6.0,17
512,5.9,21
513,6.2,21
514,8.0,25
515,4.0,14
516,4.3,31
517,5.4,78
518,5.2,24
519,5.1,83
520,6.1,463
521,4.5,71
522,4.1,22
523,5.3,191
524,4.4,18
525,5.0,124
526,5.2,75
527,6.1,13
528,4.8,63
529,6.1,66
530,4.4,66
531,4.6,139
532,4.3,21
533,5.4,68
534,4.7,136
535,4.6,55
536,4.5,57
537,4.4,56
538,5.2,103
539,5.3,119
540,4.5,60
541,5.3,152
542,6.6,2841
543,6.4,809
544,4.7,172
545,4.7,57
546,5.5,45
547,5.6,378
548,5.2,87
549,5.6,43
550,5.9,27
551,4.9,44
552,5.6,17
553,5.5,24
554,5.2,47
555,5.5,285
556,5.6,42
557,5.9,592
558,5.2,51
559,4.6,39
560,5.1,39
561,4.7,88
562,5.2,60
563,4.4,18
564,5.8,61
565,5.7,9
566,5.4,60
567,5.6,128
568,5.8,12
569,5.1,53
570,4.3,38
571,4.7,116
572,5.0,192
573,5.6,94
